"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"15 (G2)","St6","32.8371557772568","114.700145214281","46.208806839857","333",""
"16 (H2)","St7","164.820620399125","61.2989806731638","71.2361626556573","388",""
"17 (A3)","ConA","29.4916115104261","53.2420643829679","43.5328671772032","372",""
"18 (B3)","ConB","29.6104206214492","61.7192871696985","38.8139104212389","335",""
"19 (C3)","3507","30.3252298075644","58.5117298816439","53.1884936929877","349",""
"20 (D3)","3512","82.425959159266","127.63282959845","43.4172929502802","326",""
"21 (E3)","3509","34.633736173313","42.7479286008694","30.5099131335175","340",""
"22 (F3)","A-1","29.1371909198918","161.715799531852","49.5086903139377","377",""
"23 (G3)","A-2","29.3359129721721","104.227181253781","45.4259665632739","367",""
"24 (H3)","QC-L-1","42.3228330203333","91.21022979919","47.0797861934462","368",""
"25 (A4)","ConA","24.5390745625239","103.243904972139","41.9347289133665","309",""
"26 (B4)","ConB","26.1697638778475","71.8155783358425","45.6868131327766","358",""
"27 (C4)","3507","29.5278913447357","43.7932715197862","49.5352406239673","368",""
"28 (D4)","3512","113.488505876496","42.0535531090618","45.3090856248495","309",""
"29 (E4)","3509","32.3847462897056","37.6603614608873","34.358534042154","362",""
"30 (F4)","A-1","28.4545532856458","141.436447175642","44.4746093637064","362",""
"31 (G4)","A-2","33.029548113969","159.275378425787","59.2614647994573","355",""
"32 (H4)","QC-L-1","34.3306917322678","109.615202710058","69.7601951800612","354",""
"33 (A5)","QC-L-2","38.1259241642986","102.413230825416","42.2439233995076","316",""
"34 (B5)","45-1","37.7580994385318","144.530246637522","51.2858838412666","358",""
"35 (C5)","45-2","80.6362955503354","243.429494121409","34.3673363250352","343",""
"36 (D5)","48-1","26.6825139005891","119.040290348098","92.0498490429321","373",""
"37 (E5)","48-2","36.0174618364261","171.524532763753","88.8952623763341","330",""
"38 (F5)","52-1","28.3186457208416","108.240632094698","72.0329294384137","348",""
"39 (G5)","52-2","29.9993158852697","101.57933623897","54.8203809276031","384",""
"40 (H5)","background","802.254217035784","38.6609271668557","1048.3848789937","356",""
"41 (A6)","QC-L-2","33.8290807419487","74.5677738447381","59.2419798057342","316",""
"42 (B6)","45-1","31.7408233592328","149.836200952852","42.7095588565139","331",""
